symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,name,date,type,iexId,region,currency,isEnabled,figi,cik,lei
222810.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Setopia Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG009K85D51,,
222980.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Mcnulty Korea Co Ltd,2023-02-08,cs,,KR,KRW,True,BBG00BGK9L25,,
223190.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samsung Investment Trust Management Co. Ltd - Samsung KODEX 200 Intrinsic Value ETF,2023-02-08,et,IEX_56594435564E2D52,KR,KRW,True,BBG009H61WD2,,
223220.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Logis Mon Inc.,2023-02-08,cs,,KR,KRW,True,BBG009K59060,,
223250.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,DreamCIS INC.,2023-02-08,cs,,KR,KRW,True,BBG00T5HSTC6,,
223310.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Commerce miner Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00BGZG262,,
224020.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,SKCS Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00DBL5YV8,,
224060.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Codi Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00BGZPRD9,,
224110.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,ATEC T& Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00884NW90,,
224760.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,NSCompany Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG009PX0S53,,
224810.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Eomjihouse Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00B6SL931,,
225030.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger S&P500 Inverse ETF(H),2023-02-08,et,IEX_5456323550372D52,KR,KRW,True,BBG009PX3XR5,,
225040.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger Synth -S&P500 Leverage ETF(H),2023-02-08,et,IEX_543758304C512D52,KR,KRW,True,BBG009PX3XD0,,
225050.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger Synth -Euro Stoxx 50 Leverage ETF(H),2023-02-08,et,IEX_5034515731332D52,KR,KRW,True,BBG009PX3YL9,,
225060.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger Synth -Msci Em,2023-02-08,et,IEX_4E4B4B50594C2D52,KR,KRW,True,BBG009PX3Y75,,
225130.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,"Korea Investment Trust Management Co, Ltd. - KIM ACE Synth-Gold Futures Leverage ETF(H)",2023-02-08,et,IEX_524D594A38482D52,KR,KRW,True,BBG009PKGVC9,,
225190.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Samyang Optics Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG000BDVMQ7,,
225220.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Genolution Inc,2023-02-08,cs,,KR,KRW,True,BBG009Q078R7,,
225430.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Kmpharmaceutical Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG009XTCZ63,,
